topic.id,topic.label
1,Sports
2,Sustainability
3,Theater
4,Running
5,Student Life
6,Sports
7,Politics
8,Sports
9,Miscellaneous
10,Residence
11,Campus Action
12,Administration
13,Student Gov
14,Music
15,Relationships
16,Politics
17,Departments and Faculty
18,Policies and Admissions
19,Art
20,Sexual Assault
